direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
long,24,6,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,12,65,56.92307692307692,9.244602460307362,0.14222465323549788,1.3682861670223458,4.104951816327329,3,-2.0916079265890635,-4.028409300072547,54,5.9602980027151204,11,3.284304457592242,11.946975615839891
long,24,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.0,12,73,60.273972602739725,9.22483614634491,0.12636761844308095,1.3527648720740337,3.4881468524879575,3,-2.0916079265890635,-3.5019179506278073,61,5.876386018492776,12,3.348450127852134,11.920063973470986
long,24,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.0,12,73,60.273972602739725,9.22483614634491,0.12636761844308095,1.3527648720740337,3.4881468524879575,3,-2.0916079265890635,-3.5019179506278073,61,5.876386018492776,12,3.348450127852134,11.920063973470986
both,48,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.5,12,57,50.877192982456144,6.88652460699072,0.1208162211752758,1.311971520742289,4.4138956327322605,5,-1.9002878937323544,-2.4383809663196434,52,4.928638618590722,5,1.9578859883999975,11.877112246381152
both,48,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.5,12,57,50.877192982456144,6.88652460699072,0.1208162211752758,1.311971520742289,4.4138956327322605,5,-1.9002878937323544,-2.4383809663196434,52,4.928638618590722,5,1.9578859883999975,11.877112246381152
both,48,6,0.05,0.55,0.75,1.2,0.8,0.65,align,1.5,12,57,50.877192982456144,6.88652460699072,0.1208162211752758,1.311971520742289,4.4138956327322605,5,-1.9002878937323544,-2.4383809663196434,52,4.928638618590722,5,1.9578859883999975,11.877112246381152
both,48,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.5,12,57,50.877192982456144,6.88652460699072,0.1208162211752758,1.311971520742289,4.4138956327322605,5,-1.9002878937323544,-2.4383809663196434,52,4.928638618590722,5,1.9578859883999975,11.877112246381152
long,48,12,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,12,36,55.55555555555556,4.9134516904818994,0.13648476918005276,1.3665616027511183,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,33,2.9153893671231073,3,1.9980623233587922,11.852752071063668
long,48,12,0.05,0.55,0.75,1.2,1.6,0.65,align,1.2,12,36,55.55555555555556,4.9134516904818994,0.13648476918005276,1.3665616027511183,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,33,2.9153893671231073,3,1.9980623233587922,11.852752071063668
long,48,12,0.05,0.55,0.75,1.2,1.6,0.5,align,1.0,24,36,61.111111111111114,5.716969969173775,0.15880472136593818,1.393241462577355,4.350357190541969,3,-3.2898436593880067,-4.347442786663921,33,3.4420538089381565,3,2.2749161602356183,11.519436118324812
long,48,12,0.05,0.55,0.75,1.2,1.6,0.65,align,1.0,24,36,61.111111111111114,5.716969969173775,0.15880472136593818,1.393241462577355,4.350357190541969,3,-3.2898436593880067,-4.347442786663921,33,3.4420538089381565,3,2.2749161602356183,11.519436118324812
